ObjectID	X	Y	Z	Timepoint	Radius	Precursors	Color
9	119.671875	196.4921875	85	50	10	{}	"RGBColor[0.42844090990980915, 0.11112797358345977, 0.5638506216209777]"
10	262.703125	182.8359375	86	1	10	{}	"RGBColor[0.5963945355501378, 0.7420697976900142, 0.36839431399014155]"
10	261.4453125	185.4414063	84	39	10	{}	"RGBColor[0.5963945355501378, 0.7420697976900142, 0.36839431399014155]"
11	316.609375	174.9296875	88	1	10	{}	"RGBColor[0.26014250258776234, 0.45263984046648786, 0.806206165748248]"
11	311.578125	182.8359375	87	45	10	{}	"RGBColor[0.26014250258776234, 0.45263984046648786, 0.806206165748248]"
12	364.046875	170.6171875	90	1	10	{}	"RGBColor[0.45926689829342177, 0.7117321746334986, 0.5052403246657703]"
12	366.7421875	174.3007813	90	41	10	{}	"RGBColor[0.45926689829342177, 0.7117321746334986, 0.5052403246657703]"
13	438.078125	159.8359375	90	1	10	{}	"RGBColor[0.3424879339220941, 0.11585251415891702, 0.637529118979535]"
13	449.7578125	166.7539063	88	46	10	{}	"RGBColor[0.3424879339220941, 0.11585251415891702, 0.637529118979535]"
14	146.265625	167.7421875	83	1	10	{}	"RGBColor[0.5265965636383646, 0.7318497877526386, 0.42920033629764315]"
14	150.0390625	168.9101563	83	13	10	{}	"RGBColor[0.5265965636383646, 0.7318497877526386, 0.42920033629764315]"
15	294.328125	154.0859375	83	1	10	{}	"RGBColor[0.34057306435910034, 0.11595776797756742, 0.6391705363989759]"
15	299.1796875	153.8164063	83	23	10	{}	"RGBColor[0.34057306435910034, 0.11595776797756742, 0.6391705363989759]"
16	447.421875	135.3984375	86	1	10	{}	"RGBColor[0.8798543561931729, 0.6324469502050933, 0.22783895451710023]"
16	441.4921875	145.1914063	87	25	10	{}	"RGBColor[0.8798543561931729, 0.6324469502050933, 0.22783895451710023]"
17	160.640625	152.6484375	85	1	10	{}	"RGBColor[0.2469340128492829, 0.37748172414403236, 0.8143288895666442]"
17	205.0234375	152.3789063	89	92	10	{}	"RGBColor[0.2469340128492829, 0.37748172414403236, 0.8143288895666442]"
18	582.546875	95.1484375	92	1	10	{}	"RGBColor[0.8763616344034196, 0.6406376445093929, 0.22970368908257507]"
18	592.0703125	98.83203125	94	5	10	{}	"RGBColor[0.8763616344034196, 0.6406376445093929, 0.22970368908257507]"
21	105.296875	197.2109375	85	51	10	{9}	"RGBColor[0.2635304663185603, 0.20250953835545463, 0.7469382397794562]"
21	85.171875	206.5546875	87	121	10	{9}	"RGBColor[0.2635304663185603, 0.20250953835545463, 0.7469382397794562]"
22	134.046875	195.0546875	85	51	10	{9}	"RGBColor[0.7340862653656534, 0.7356355255713594, 0.28672548557620386]"
22	149.859375	200.0859375	89	129	10	{9}	"RGBColor[0.7340862653656534, 0.7356355255713594, 0.28672548557620386]"
23	150.578125	202.2421875	85	130	10	"{9, 22}"	"RGBColor[0.5862440900158287, 0.7405835416944883, 0.37723709553070617]"
23	154.171875	205.8359375	79	200	10	"{9, 22}"	"RGBColor[0.5862440900158287, 0.7405835416944883, 0.37723709553070617]"
24	149.140625	197.9296875	92	130	10	"{9, 22}"	"RGBColor[0.8841862170239699, 0.3327000638448768, 0.16822754289246125]"
24	143.390625	202.9609375	95	300	10	"{9, 22}"	"RGBColor[0.8841862170239699, 0.3327000638448768, 0.16822754289246125]"
25	144.109375	209.4296875	79	201	10	"{9, 22, 23}"	"RGBColor[0.48952533139365045, 0.7218953152324399, 0.46916590030832267]"
25	134.046875	216.6171875	83	300	10	"{9, 22, 23}"	"RGBColor[0.48952533139365045, 0.7218953152324399, 0.46916590030832267]"
26	162.796875	208.7109375	79	201	10	"{9, 22, 23}"	"RGBColor[0.7391461771346022, 0.7344239528155654, 0.284558300566563]"
26	156.328125	218.7734375	81	277	10	"{9, 22, 23}"	"RGBColor[0.7391461771346022, 0.7344239528155654, 0.284558300566563]"
27	158.484375	218.0546875	76	278	10	"{9, 22, 23, 26}"	"RGBColor[0.2894095856064793, 0.5445426938694492, 0.7657441294323666]"
27	154.171875	221.6484375	75	300	10	"{9, 22, 23, 26}"	"RGBColor[0.2894095856064793, 0.5445426938694492, 0.7657441294323666]"
28	157.765625	218.7734375	84	278	10	"{9, 22, 23, 26}"	"RGBColor[0.3101399970718551, 0.5910046376256131, 0.7323958990335495]"
28	151.296875	210.1484375	85	300	10	"{9, 22, 23, 26}"	"RGBColor[0.3101399970718551, 0.5910046376256131, 0.7323958990335495]"
29	85.890625	210.8671875	85	122	10	"{9, 21}"	"RGBColor[0.8917020853992452, 0.3815249622743498, 0.177804762543215]"
29	53.546875	225.2421875	91	300	10	"{9, 21}"	"RGBColor[0.8917020853992452, 0.3815249622743498, 0.177804762543215]"
30	88.046875	200.8046875	91	122	10	"{9, 21}"	"RGBColor[0.39075292032434417, 0.6758748977213607, 0.5997030162986006]"
30	40.609375	213.0234375	98	300	10	"{9, 21}"	"RGBColor[0.39075292032434417, 0.6758748977213607, 0.5997030162986006]"
31	284.984375	201.5234375	115	78	10	{1}	"RGBColor[0.5229496627311446, 0.7313157985479162, 0.4323774133937795]"
31	256.234375	210.8671875	120	166	10	{1}	"RGBColor[0.5229496627311446, 0.7313157985479162, 0.4323774133937795]"
32	306.546875	199.3671875	115	78	10	{1}	"RGBColor[0.8943645968261791, 0.598419348677982, 0.22009206000603282]"
32	345.359375	199.3671875	120	150	10	{1}	"RGBColor[0.8943645968261791, 0.598419348677982, 0.22009206000603282]"
35	351.109375	187.8671875	120	151	10	"{1, 32}"	"RGBColor[0.6797252103209932, 0.7428839293844993, 0.3146116823037599]"
35	366.921875	193.6171875	124	253	10	"{1, 32}"	"RGBColor[0.6797252103209932, 0.7428839293844993, 0.3146116823037599]"
36	343.203125	205.8359375	120	151	10	"{1, 32}"	"RGBColor[0.5947150119144047, 0.7418238772459511, 0.3698574675584064]"
36	332.421875	213.7421875	129	236	10	"{1, 32}"	"RGBColor[0.5947150119144047, 0.7418238772459511, 0.3698574675584064]"
37	333.859375	205.1171875	130	237	10	"{1, 32, 36}"	"RGBColor[0.8743668492679036, 0.26398658521427265, 0.15536992935670302]"
37	329.546875	209.4296875	132	300	10	"{1, 32, 36}"	"RGBColor[0.8743668492679036, 0.26398658521427265, 0.15536992935670302]"
38	333.140625	223.8046875	130	237	10	"{1, 32, 36}"	"RGBColor[0.31010882414341673, 0.5909645386389831, 0.7324495902191411]"
38	328.828125	225.9609375	132	300	10	"{1, 32, 36}"	"RGBColor[0.31010882414341673, 0.5909645386389831, 0.7324495902191411]"
39	355.421875	191.4609375	124	254	10	"{1, 32, 35}"	"RGBColor[0.3503009614960852, 0.6426652950026803, 0.6632240277188265]"
39	321.640625	191.4609375	130	300	10	"{1, 32, 35}"	"RGBColor[0.3503009614960852, 0.6426652950026803, 0.6632240277188265]"
40	376.265625	195.7734375	124	254	10	"{1, 32, 35}"	"RGBColor[0.7235837454325046, 0.7381503059863607, 0.29122376633719477]"
40	403.578125	203.6796875	130	300	10	"{1, 32, 35}"	"RGBColor[0.7235837454325046, 0.7381503059863607, 0.29122376633719477]"
41	258.390625	200.8046875	120	167	10	"{1, 31}"	"RGBColor[0.8687870655932917, 0.22039230657430958, 0.1477449242224118]"
41	246.890625	206.5546875	130	300	10	"{1, 31}"	"RGBColor[0.8687870655932917, 0.22039230657430958, 0.1477449242224118]"
42	256.234375	218.0546875	120	167	10	"{1, 31}"	"RGBColor[0.24448262616134825, 0.35301408487122027, 0.8132416337237671]"
42	244.015625	225.2421875	129	255	10	"{1, 31}"	"RGBColor[0.24448262616134825, 0.35301408487122027, 0.8132416337237671]"
43	241.859375	218.7734375	129	256	10	"{1, 31, 42}"	"RGBColor[0.4443812161033768, 0.7067324021566005, 0.5229871926015632]"
43	244.015625	221.6484375	131	300	10	"{1, 31, 42}"	"RGBColor[0.4443812161033768, 0.7067324021566005, 0.5229871926015632]"
44	245.453125	234.5859375	129	256	10	"{1, 31, 42}"	"RGBColor[0.24918784108254963, 0.39030631559094175, 0.8129428700719554]"
44	254.796875	237.4609375	131	300	10	"{1, 31, 42}"	"RGBColor[0.24918784108254963, 0.39030631559094175, 0.8129428700719554]"
45	311.578125	179.9609375	92	46	10	{11}	"RGBColor[0.28263857174086504, 0.5277140949182275, 0.7764395648831319]"
45	307.984375	181.3984375	93	117	10	{11}	"RGBColor[0.28263857174086504, 0.5277140949182275, 0.7764395648831319]"
46	310.859375	184.9921875	83	46	10	{11}	"RGBColor[0.8662931288326128, 0.20090743397070535, 0.14433685650622083]"
46	310.859375	196.4921875	79	103	10	{11}	"RGBColor[0.8662931288326128, 0.20090743397070535, 0.14433685650622083]"
47	319.484375	181.3984375	93	118	10	"{11, 45}"	"RGBColor[0.24656330646832486, 0.3104940933272046, 0.7985529321342625]"
47	315.890625	179.9609375	87	190	10	"{11, 45}"	"RGBColor[0.24656330646832486, 0.3104940933272046, 0.7985529321342625]"
48	300.078125	184.9921875	93	118	10	"{11, 45}"	"RGBColor[0.2620542457200549, 0.4635179208193777, 0.8050305157093121]"
48	295.046875	184.2734375	89	180	10	"{11, 45}"	"RGBColor[0.2620542457200549, 0.4635179208193777, 0.8050305157093121]"
49	297.203125	190.7421875	83	181	10	"{11, 45, 48}"	"RGBColor[0.28824055427797685, 0.5416371970296496, 0.7675907212961666]"
49	292.171875	199.3671875	75	242	10	"{11, 45, 48}"	"RGBColor[0.28824055427797685, 0.5416371970296496, 0.7675907212961666]"
50	295.765625	179.2421875	92	181	10	"{11, 45, 48}"	"RGBColor[0.5597764638162561, 0.7367080794801951, 0.40029494413341543]"
50	290.734375	184.9921875	88	247	10	"{11, 45, 48}"	"RGBColor[0.5597764638162561, 0.7367080794801951, 0.40029494413341543]"
51	287.140625	194.3359375	83	248	10	"{11, 45, 48, 50}"	"RGBColor[0.5085561719935906, 0.7282873550347841, 0.4464771306219638]"
51	288.3984375	205.5664063	70	300	10	"{11, 45, 48, 50}"	"RGBColor[0.5085561719935906, 0.7282873550347841, 0.4464771306219638]"
52	292.171875	177.0859375	89	248	10	"{11, 45, 48, 50}"	"RGBColor[0.4931090911146586, 0.7230990211149217, 0.46489330401946194]"
52	290.015625	182.1171875	89	300	10	"{11, 45, 48, 50}"	"RGBColor[0.4931090911146586, 0.7230990211149217, 0.46489330401946194]"
53	290.734375	209.4296875	77	243	10	"{11, 45, 48, 49}"	"RGBColor[0.5908956879660772, 0.7412646413879909, 0.3731847547394026]"
53	292.171875	230.9921875	55	300	10	"{11, 45, 48, 49}"	"RGBColor[0.5908956879660772, 0.7412646413879909, 0.3731847547394026]"
