0 0 0          
0 -2 0          
3 2 0          
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup Layer DivisionType
9 0.742468 -1.20406 0 45 0.105737 {7} Color 7 TrackId TrackColor 0 0 -
9 0.742468 -1.20347 0 46 0.106236 {7} Color 7 TrackId TrackColor 0 0 -
9 0.742468 -1.20289 0 47 0.106734 {7} Color 7 TrackId TrackColor 0 0 -
9 0.742468 -1.2023 0 48 0.107233 {7} Color 7 TrackId TrackColor 0 0 -
9 0.742468 -1.20171 0 49 0.107732 {7} Color 7 TrackId TrackColor 0 0 -
9 0.742468 -1.20112 0 50 0.10823 {7} Color 7 TrackId TrackColor 0 0 -
9 0.742468 -1.20053 0 51 0.108729 {7} Color 7 TrackId TrackColor 0 0 -
9 0.742468 -1.19994 0 52 0.109227 {7} Color 7 TrackId TrackColor 0 0 -
9 0.742468 -1.19935 0 53 0.109726 {7} Color 7 TrackId TrackColor 0 0 -
9 0.742468 -1.19877 0 54 0.110225 {7} Color 7 TrackId TrackColor 0 0 -
9 0.742468 -1.19818 0 55 0.110723 {7} Color 7 TrackId TrackColor 0 0 -
9 0.742468 -1.19759 0 56 0.111222 {7} Color 7 TrackId TrackColor 0 0 -
9 0.742468 -1.197 0 57 0.111721 {7} Color 7 TrackId TrackColor 0 0 -
9 0.742468 -1.19641 0 58 0.112219 {7} Color 7 TrackId TrackColor 0 0 -
9 0.742468 -1.19582 0 59 0.112718 {7} Color 7 TrackId TrackColor 0 0 -
9 0.742468 -1.19523 0 60 0.113216 {7} Color 7 TrackId TrackColor 0 0 -
9 0.742468 -1.19464 0 61 0.113715 {7} Color 7 TrackId TrackColor 0 0 -
9 0.742468 -1.19406 0 62 0.114214 {7} Color 7 TrackId TrackColor 0 0 -
9 0.742468 -1.19347 0 63 0.114712 {7} Color 7 TrackId TrackColor 0 0 -
9 0.742468 -1.19288 0 64 0.115211 {7} Color 7 TrackId TrackColor 0 0 -
9 0.742468 -1.19229 0 65 0.115709 {7} Color 7 TrackId TrackColor 0 0 0
10 1.25 -1.25 0 2 0.0799984 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24994 0 3 0.0800567 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24989 0 4 0.0801151 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24983 0 5 0.0801734 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24977 0 6 0.0802317 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24971 0 7 0.08029 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24965 0 8 0.0803483 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24959 0 9 0.0804066 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24954 0 10 0.0804649 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24948 0 11 0.0805232 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24942 0 12 0.0805815 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24936 0 13 0.0806399 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.2493 0 14 0.0806982 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24924 0 15 0.0807565 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24919 0 16 0.0808148 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24913 0 17 0.0808731 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24907 0 18 0.0809314 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24901 0 19 0.0809897 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24895 0 20 0.081048 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24889 0 21 0.0811063 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24884 0 22 0.0811646 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24878 0 23 0.081223 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24872 0 24 0.0812813 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24866 0 25 0.0813396 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.2486 0 26 0.0813979 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24854 0 27 0.0814562 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24849 0 28 0.0815145 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24843 0 29 0.0815728 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24837 0 30 0.0816311 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24831 0 31 0.0816894 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24825 0 32 0.0817477 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24819 0 33 0.0818061 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24814 0 34 0.0818644 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24808 0 35 0.0819227 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24802 0 36 0.081981 {7} Color 7 TrackId TrackColor 0 0 -
10 1.25 -1.24796 0 37 0.0820393 {7} Color 7 TrackId TrackColor 0 0 -
