35 -5 5 #Rotation x y z
307.2 166.1 -219.6 #Center of root x y z
736 376 170 #Dimension of raw data set x y z
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup Layer DivisionType
122 100.265625 228.1171875 103 129 10 {2} "RGBColor[0.6138289773230897, 0.7436465060588875, 0.35481848671264843]" 2 "{2, 2}" "RGBColor[0.5019607843137255, 0., 1.]" 2 0 -
122 118.953125 243.9296875 115 295 10 {2} "RGBColor[0.6138289773230897, 0.7436465060588875, 0.35481848671264843]" 2 "{2, 2}" "RGBColor[0.5019607843137255, 0., 1.]" 2 0 1
123 125.421875 248.9609375 114 296 10 "{2, 122}" "RGBColor[0.37023314803603347, 0.11432745480698964, 0.6137460485120428]" 2 "{2, 2, 1}" "RGBColor[0.5019607843137255, 0., 1.]" 2 1 -
123 127.578125 251.1171875 114 300 10 "{2, 122}" "RGBColor[0.37023314803603347, 0.11432745480698964, 0.6137460485120428]" 2 "{2, 2, 1}" "RGBColor[0.5019607843137255, 0., 1.]" 2 1 -
124 111.046875 234.5859375 116 296 10 "{2, 122}" "RGBColor[0.3699028033733327, 0.11434561272118493, 0.6140292184439564]" 2 "{2, 2, 2}" "RGBColor[0.5019607843137255, 0., 1.]" 2 0 -
124 111.046875 240.3359375 116 300 10 "{2, 122}" "RGBColor[0.3699028033733327, 0.11434561272118493, 0.6140292184439564]" 2 "{2, 2, 2}" "RGBColor[0.5019607843137255, 0., 1.]" 2 0 -
3 281.390625 197.2109375 104 1 10 {} "RGBColor[0.26133913105743023, 0.2064251899029151, 0.7507404599800276]" 3 {3} "RGBColor[0.5019607843137255, 0., 1.]" 2 0 -
3 282.828125 197.9296875 106 22 10 {} "RGBColor[0.26133913105743023, 0.2064251899029151, 0.7507404599800276]" 3 {3} "RGBColor[0.5019607843137255, 0., 1.]" 2 0 0
125 272.765625 200.8046875 106 23 10 {3} "RGBColor[0.3472142363962191, 0.6386947168532878, 0.6685404974414272]" 3 "{3, 1}" "RGBColor[0.5019607843137255, 0., 1.]" 2 0 -
125 249.046875 213.0234375 104 84 10 {3} "RGBColor[0.3472142363962191, 0.6386947168532878, 0.6685404974414272]" 3 "{3, 1}" "RGBColor[0.5019607843137255, 0., 1.]" 2 0 1
126 293.609375 198.6484375 106 23 10 {3} "RGBColor[0.6268540001743977, 0.7434957754608259, 0.3468712259607249]" 3 "{3, 2}" "RGBColor[0.5019607843137255, 0., 1.]" 2 0 -
126 298.640625 209.4296875 104 93 10 {3} "RGBColor[0.6268540001743977, 0.7434957754608259, 0.3468712259607249]" 3 "{3, 2}" "RGBColor[0.5019607843137255, 0., 1.]" 2 0 1
127 249.046875 202.9609375 104 85 10 "{3, 125}" "RGBColor[0.7751465981075714, 0.7258038164891513, 0.2691391438231271]" 3 "{3, 1, 1}" "RGBColor[0.5019607843137255, 0., 1.]" 2 0 -
