41 -5 2 #Rotation x y z       
400.9 120.3 -306 #Center of root x y z     
689 393 200 #Dimension of raw data set x y z   
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup Layer DivisionType
1122 300 142.0263671875 123 1 10 {} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 {1122} "RGBColor[0., 1., 0.]" 4 0 0
1 270.486328125 137.5406901042 123 34 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 274.9720052083 140.2320963542 123 35 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 275.869140625 136.6435546875 123 36 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 270.486328125 142.0263671875 123 37 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 269.5891927083 142.0263671875 123 38 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 273.177734375 142.0263671875 123 39 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 272.2805989583 142.0263671875 123 40 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 271.3834635417 142.0263671875 123 41 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 271.3834635417 143.8206380208 123 42 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 264.2063802083 143.8206380208 123 43 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
