41 0 8 #Rotation x y z
400.9 120.3 -306.0 #Center of root x y z
689 393 200 #Dimension of raw data set x y z
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup Layer DivisionType
154 305.1381835938 190.3034667969 119 229 10 "{4, 19, 142, 151}" "RGBColor[0.531675, 0.732593, 0.424776]" 4 "{4, 1, 2, 1, 2}" "RGBColor[0.921172, 0.333333, 1.]" 5 2 -
154 307.8295898438 203.0876464844 109 298 10 "{4, 19, 142, 151}" "RGBColor[0.531675, 0.732593, 0.424776]" 4 "{4, 1, 2, 1, 2}" "RGBColor[0.921172, 0.333333, 1.]" 5 2 0
159 182.6791992188 173.4821777344 140 207 10 "{4, 20, 146}" "RGBColor[0.278168, 0.176354, 0.72154]" 4 "{4, 2, 2, 2}" "RGBColor[0.921172, 0.333333, 1.]" 5 0 -
159 149.7094726563 183.5749511719 142 300 10 "{4, 20, 146}" "RGBColor[0.278168, 0.176354, 0.72154]" 4 "{4, 2, 2, 2}" "RGBColor[0.921172, 0.333333, 1.]" 5 0 -
370 307.8295898438 166.0808105469 132 290 10 "{4, 19, 141, 143}" "RGBColor[0.25012, 0.237821, 0.773448]" 4 "{4, 1, 1, 1, 1}" "RGBColor[0.921172, 0.333333, 1.]" 5 0 -
370 308.5024414063 166.7536621094 130 300 10 "{4, 19, 141, 143}" "RGBColor[0.25012, 0.237821, 0.773448]" 4 "{4, 1, 1, 1, 1}" "RGBColor[0.921172, 0.333333, 1.]" 5 0 -
371 306.4838867188 153.2966308594 139 290 10 "{4, 19, 141, 143}" "RGBColor[0.871274, 0.65257, 0.23242]" 4 "{4, 1, 1, 1, 2}" "RGBColor[0.921172, 0.333333, 1.]" 5 0 -
371 304.4653320313 153.9694824219 138 300 10 "{4, 19, 141, 143}" "RGBColor[0.871274, 0.65257, 0.23242]" 4 "{4, 1, 1, 1, 2}" "RGBColor[0.921172, 0.333333, 1.]" 5 0 -
414 247.2729492188 184.9206542969 122 257 10 "{4, 20, 145, 149}" "RGBColor[0.895719, 0.407623, 0.182924]" 4 "{4, 2, 1, 1, 1}" "RGBColor[0.921172, 0.333333, 1.]" 5 1 -
414 243.2358398438 192.9948730469 119 300 10 "{4, 20, 145, 149}" "RGBColor[0.895719, 0.407623, 0.182924]" 4 "{4, 2, 1, 1, 1}" "RGBColor[0.921172, 0.333333, 1.]" 5 1 -
