92;0;16;#Rotation;x;y;z;;;;;;;
315.6;117.3;-130.8;#Center;of;root;x;y;z;;;;;
682;406;130;#Dimension;of;raw;data;set;x;y;z;;;
ObjectID;X;Y;Z;Timepoint;Radius;Precursors;Color;Lineage;TrackID;TrackColor;TrackGroup;Layer;DivisionType
61;377.9638671875;126.7729492188;72;191;10;{6, 9, 38};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;0
62;386.6220703125;120.1127929688;71;192;10;{6, 9, 38, 61};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
62;405.9365234375;127.4389648438;72;277;10;{6, 9, 38, 61};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;0
63;367.3076171875;130.1030273438;71;192;10;{6, 9, 38, 61};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
63;361.9794921875;142.0913085938;76;264;10;{6, 9, 38, 61};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;1
64;360.6474609375;136.7631835938;76;265;10;{6, 9, 38, 61, 63};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
64;353.3212890625;138.0952148438;75;343;10;{6, 9, 38, 61, 63};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;0
65;365.3095703125;148.0854492188;76;265;10;{6, 9, 38, 61, 63};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
65;367.9736328125;154.7456054688;76;339;10;{6, 9, 38, 61, 63};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;2
66;367.9736328125;158.7416992188;74;340;10;{6, 9, 38, 61, 63, 65};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 2, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
66;368.6396484375;159.4077148438;72;350;10;{6, 9, 38, 61, 63, 65};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 2, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
67;369.9716796875;150.0834960938;78;340;10;{6, 9, 38, 61, 63, 65};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 2, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
67;367.9736328125;150.0834960938;78;350;10;{6, 9, 38, 61, 63, 65};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 2, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
68;356.6513671875;132.1010742188;75;344;10;{6, 9, 38, 61, 63, 64};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 2, 2, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
68;361.3134765625;130.1030273438;74;350;10;{6, 9, 38, 61, 63, 64};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 2, 2, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
69;347.3271484375;143.4233398438;75;344;10;{6, 9, 38, 61, 63, 64};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 2, 2, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
69;343.9970703125;142.0913085938;76;350;10;{6, 9, 38, 61, 63, 64};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 2, 2, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
70;414.5947265625;124.7749023438;72;278;10;{6, 9, 38, 61, 62};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 2, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
70;431.2451171875;116.1166992188;72;350;10;{6, 9, 38, 61, 62};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 2, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
71;397.9443359375;131.4350585938;73;278;10;{6, 9, 38, 61, 62};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 2, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
71;387.9541015625;129.4370117188;73;350;10;{6, 9, 38, 61, 62};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 2, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
72;405.9365234375;140.7592773438;74;187;10;{6, 9, 38, 60};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
72;423.2529296875;155.4116210938;75;271;10;{6, 9, 38, 60};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;1
73;391.2841796875;152.7475585938;74;187;10;{6, 9, 38, 60};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
73;393.2822265625;165.4018554688;79;258;10;{6, 9, 38, 60};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;1
74;389.9521484375;160.0737304688;79;259;10;{6, 9, 38, 60, 73};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 1, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
74;391.9501953125;162.0717773438;75;350;10;{6, 9, 38, 60, 73};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 1, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
75;396.6123046875;174.7260742188;79;259;10;{6, 9, 38, 60, 73};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 1, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;-
75;397.9443359375;182.0522460938;79;341;10;{6, 9, 38, 60, 73};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 1, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;2
76;398.6103515625;185.3823242188;75;342;10;{6, 9, 38, 60, 73, 75};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 1, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;-
76;401.2744140625;191.3764648438;73;350;10;{6, 9, 38, 60, 73, 75};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 1, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;-
77;397.9443359375;178.7221679688;82;342;10;{6, 9, 38, 60, 73, 75};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 1, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;-
77;399.9423828125;177.3901367188;84;350;10;{6, 9, 38, 60, 73, 75};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 1, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;-
78;421.9208984375;149.4174804688;75;272;10;{6, 9, 38, 60, 72};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 1, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
78;421.9208984375;143.4233398438;74;350;10;{6, 9, 38, 60, 72};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 1, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
79;424.5849609375;165.4018554688;75;272;10;{6, 9, 38, 60, 72};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 1, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;-
79;423.9189453125;166.0678710938;76;350;10;{6, 9, 38, 60, 72};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 1, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;-
80;302.7041015625;156.0776367188;70;129;10;{6, 10, 11};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
80;298.7080078125;154.7456054688;69;199;10;{6, 10, 11};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;0
81;308.0322265625;178.7221679688;70;129;10;{6, 10, 11};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
81;306.0341796875;178.0561523438;75;178;10;{6, 10, 11};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;2
82;307.3662109375;177.3901367188;79;179;10;{6, 10, 11, 81};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
82;308.0322265625;189.3784179688;86;239;10;{6, 10, 11, 81};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;1
83;305.3681640625;181.3862304688;71;179;10;{6, 10, 11, 81};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
83;312.0283203125;200.7006835938;76;238;10;{6, 10, 11, 81};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;1
84;315.3583984375;192.0424804688;75;239;10;{6, 10, 11, 81, 83};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
84;310.0302734375;216.6850585938;79;329;10;{6, 10, 11, 81, 83};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;0
85;315.3583984375;209.3588867188;79;239;10;{6, 10, 11, 81, 83};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;-
85;315.3583984375;232.6694335938;81;316;10;{6, 10, 11, 81, 83};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;0
86;326.0146484375;230.6713867188;81;317;10;{6, 10, 11, 81, 83, 85};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 2, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;-
86;329.3447265625;239.9956054688;81;350;10;{6, 10, 11, 81, 83, 85};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 2, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;-
87;306.0341796875;236.6655273438;81;317;10;{6, 10, 11, 81, 83, 85};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 2, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;-
87;308.0322265625;245.3237304688;82;350;10;{6, 10, 11, 81, 83, 85};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 2, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;-
91;302.0380859375;216.0190429688;79;330;10;{6, 10, 11, 81, 83, 84};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 2, 2, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
91;302.7041015625;222.0131835938;80;350;10;{6, 10, 11, 81, 83, 84};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 2, 2, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
92;318.0224609375;214.0209960938;79;330;10;{6, 10, 11, 81, 83, 84};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 2, 2, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
92;323.3505859375;220.6811523438;79;350;10;{6, 10, 11, 81, 83, 84};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 2, 2, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
93;306.7001953125;150.7495117188;69;200;10;{6, 10, 11, 80};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
93;310.0302734375;171.3959960938;74;272;10;{6, 10, 11, 80};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;1
94;288.7177734375;155.4116210938;69;200;10;{6, 10, 11, 80};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
94;287.3857421875;172.7280273438;77;279;10;{6, 10, 11, 80};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;1
95;286.0537109375;164.0698242188;77;280;10;{6, 10, 11, 80, 94};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 1, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
95;286.7197265625;168.7319335938;77;350;10;{6, 10, 11, 80, 94};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 1, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
96;290.7158203125;184.0502929688;77;280;10;{6, 10, 11, 80, 94};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 1, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
96;294.7119140625;195.3725585938;77;350;10;{6, 10, 11, 80, 94};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 1, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
97;306.7001953125;159.4077148438;74;273;10;{6, 10, 11, 80, 93};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 1, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
97;306.7001953125;165.4018554688;73;350;10;{6, 10, 11, 80, 93};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 1, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
98;313.3603515625;179.3881835938;74;273;10;{6, 10, 11, 80, 93};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 1, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
98;312.6943359375;196.0385742188;73;350;10;{6, 10, 11, 80, 93};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1, 1, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
101;314.0263671875;163.4038085938;45;15;10;{4};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 1};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;-
101;332.0087890625;152.7475585938;51;70;10;{4};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 1};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;1
102;289.3837890625;170.0639648438;45;15;10;{4};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;-
102;248.7568359375;180.7202148438;51;59;10;{4};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;0
103;262.0771484375;177.3901367188;51;60;10;{4, 102};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 1};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;-
103;278.0615234375;172.7280273438;56;114;10;{4, 102};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 1};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;1
104;240.0986328125;184.7163085938;51;60;10;{4, 102};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;-
104;207.4638671875;189.3784179688;53;106;10;{4, 102};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;0
105;222.7822265625;191.3764648438;53;107;10;{4, 102, 104};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 1};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;1;-
105;228.7763671875;188.7124023438;58;163;10;{4, 102, 104};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 1};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;1;1
106;198.1396484375;186.0483398438;53;107;10;{4, 102, 104};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 2};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;-
106;172.1650390625;202.0327148438;56;180;10;{4, 102, 104};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 2};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;1
107;175.4951171875;206.6948242188;56;181;10;{4, 102, 104, 106};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 2, 1};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;1;-
107;165.5048828125;218.0170898438;65;350;10;{4, 102, 104, 106};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 2, 1};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;1;-
108;166.8369140625;191.3764648438;56;181;10;{4, 102, 104, 106};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 2, 2};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;-
108;124.2119140625;205.3627929688;65;279;10;{4, 102, 104, 106};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 2, 2};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;0
109;140.1962890625;201.3666992188;65;280;10;{4, 102, 104, 106, 108};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 2, 2, 1};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;-
109;170.8330078125;193.3745117188;64;350;10;{4, 102, 104, 106, 108};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 2, 2, 1};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;-
110;110.8916015625;213.3549804688;65;280;10;{4, 102, 104, 106, 108};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 2, 2, 2};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;-
110;14.9853515625;242.6596679688;61;350;10;{4, 102, 104, 106, 108};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 2, 2, 2};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;-
111;226.1123046875;181.3862304688;58;164;10;{4, 102, 104, 105};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 1, 1};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;1;-
111;229.4423828125;185.3823242188;66;300;10;{4, 102, 104, 105};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 1, 1};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;1;1
112;232.7724609375;198.7026367188;58;164;10;{4, 102, 104, 105};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 1, 2};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;1;-
112;229.4423828125;205.3627929688;62;237;10;{4, 102, 104, 105};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 1, 2};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;1;0
113;240.0986328125;205.3627929688;62;238;10;{4, 102, 104, 105, 112};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 1, 2, 1};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;1;-
113;234.7705078125;218.6831054688;64;313;10;{4, 102, 104, 105, 112};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 1, 2, 1};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;1;1
114;219.4521484375;206.6948242188;62;238;10;{4, 102, 104, 105, 112};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 1, 2, 2};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;1;-
114;212.1259765625;215.3530273438;58;337;10;{4, 102, 104, 105, 112};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 1, 2, 2};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;1;1
115;212.1259765625;222.6791992188;57;338;10;{4, 102, 104, 105, 112, 114};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 1, 2, 2, 1};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;2;-
115;214.1240234375;223.3452148438;57;350;10;{4, 102, 104, 105, 112, 114};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 1, 2, 2, 1};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;2;-
116;210.1279296875;207.3608398438;60;338;10;{4, 102, 104, 105, 112, 114};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 1, 2, 2, 2};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;1;-
116;208.1298828125;204.0307617188;61;350;10;{4, 102, 104, 105, 112, 114};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 1, 2, 2, 2};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;1;-
117;236.1025390625;214.0209960938;62;314;10;{4, 102, 104, 105, 112, 113};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 1, 2, 1, 1};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;1;-
117;232.1064453125;208.6928710938;63;350;10;{4, 102, 104, 105, 112, 113};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 1, 2, 1, 1};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;1;-
118;237.4345703125;228.0073242188;62;314;10;{4, 102, 104, 105, 112, 113};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 1, 2, 1, 2};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;2;-
118;236.1025390625;228.6733398438;60;350;10;{4, 102, 104, 105, 112, 113};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 1, 2, 1, 2};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;2;-
119;228.7763671875;175.3920898438;66;301;10;{4, 102, 104, 105, 111};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 1, 1, 1};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;2;-
119;229.4423828125;172.0620117188;65;350;10;{4, 102, 104, 105, 111};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 1, 1, 1};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;2;-
120;228.1103515625;194.0405273438;66;301;10;{4, 102, 104, 105, 111};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 1, 1, 2};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;1;-
120;229.4423828125;190.0444335938;65;350;10;{4, 102, 104, 105, 111};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 2, 1, 1, 2};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;1;-
121;276.7294921875;159.4077148438;56;115;10;{4, 102, 103};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 1, 1};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;-
121;270.7353515625;158.7416992188;59;178;10;{4, 102, 103};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 1, 1};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;0
122;284.7216796875;180.0541992188;56;115;10;{4, 102, 103};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4, 2, 1, 2};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;1;-
