ID Time CellCorners
96 119 0.134316,-0.578658,0,0.137002,-0.489404,0,0.232297,-0.498711,0,0.240232,-0.564888,0,0.238798,-0.624565,0,0.138649,-0.621958,0
95 119 0.238798,-0.624565,0,0.24548,-0.668128,0,0.249916,-0.752275,0,0.156747,-0.724423,0,0.127859,-0.709563,0,0.138649,-0.621958,0
94 119 0.231944,-0.434026,0,0.232297,-0.498711,0,0.137002,-0.489404,0,0.136295,-0.484164,0,0.135879,-0.393969,0,0.226254,-0.390981,0
93 119 0.135879,-0.393969,0,0.12956,-0.363816,0,0.117316,-0.230406,0,0.236888,-0.260781,0,0.226254,-0.390981,0
92 119 0.0185947,-0.480642,0,0.0151547,-0.502984,0,-0.1488,-0.498616,0,-0.150856,-0.439409,0,-0.144072,-0.396121,0,0.00241744,-0.394009,0
91 119 -0.144072,-0.396121,0,-0.141109,-0.235452,0,0,-0.21312,0,0.00444741,-0.368405,0,0.00241744,-0.394009,0
90 119 -0.370035,-0.331109,0,-0.236901,-0.260493,0,-0.234094,-0.421547,0,-0.353041,-0.429649,0
89 119 -0.234094,-0.421547,0,-0.231875,-0.440675,0,-0.238061,-0.537401,0,-0.352223,-0.555106,0,-0.356517,-0.501646,0,-0.353041,-0.429649,0
88 119 -0.1488,-0.498616,0,-0.155574,-0.550726,0,-0.236786,-0.556336,0,-0.238061,-0.537401,0,-0.231875,-0.440675,0,-0.150856,-0.439409,0
87 119 -0.231875,-0.440675,0,-0.234094,-0.421547,0,-0.236901,-0.260493,0,-0.141109,-0.235452,0,-0.144072,-0.396121,0,-0.150856,-0.439409,0
86 119 -0.916093,-0.719046,0,-0.934954,-0.799052,0,-0.995628,-0.966344,0,-1.14822,-0.991781,0,-1.17846,-0.858824,0
85 119 -1.14822,-0.991781,0,-1.5,-1.12,0,-1.5,-0.94,0,-1.17846,-0.858824,0
84 119 -0.24705,-1.09326,0,-0.243811,-1.12331,0,-0.257586,-1.33,0,-0.5,-1.33,0,-0.4702,-1.12128,0,-0.281418,-1.05909,0
83 119 -0.4702,-1.12128,0,-0.5,-0.920012,0,-0.425204,-0.876683,0,-0.369758,-0.929087,0,-0.281418,-1.05909,0
82 119 0.5,-1.33,0,0.242424,-1.33,0,0.23993,-1.13887,0,0.47344,-1.12911,0
81 119 0.23993,-1.13887,0,0.230049,-1.09232,0,0.241248,-1.01051,0,0.315942,-1.00657,0,0.485125,-1.03339,0,0.47344,-1.12911,0
80 119 0.5,-0.917914,0,0.485125,-1.03339,0,0.315942,-1.00657,0,0.368412,-0.822046,0
79 119 0.315942,-1.00657,0,0.241248,-1.01051,0,0.234203,-0.955383,0,0.259715,-0.764016,0,0.336742,-0.789611,0,0.368412,-0.822046,0
78 119 -0.782371,-0.903671,0,-0.98185,-0.970208,0,-0.995628,-0.966344,0,-0.934954,-0.799052,0,-0.776366,-0.838903,0
77 119 -0.934954,-0.799052,0,-0.916093,-0.719046,0,-0.744395,-0.597775,0,-0.743668,-0.730519,0,-0.776366,-0.838903,0
76 119 -0.223483,-0.971427,0,-0.24705,-1.09326,0,-0.281418,-1.05909,0,-0.369758,-0.929087,0,-0.241132,-0.840609,0
75 119 -0.369758,-0.929087,0,-0.425204,-0.876683,0,-0.354906,-0.792766,0,-0.249902,-0.755608,0,-0.240141,-0.759951,0,-0.241132,-0.840609,0
74 119 -0.223483,-0.971427,0,-0.241132,-0.840609,0,-0.240141,-0.759951,0,-0.148973,-0.725595,0,-0.086663,-0.749104,0,-0.109472,-0.95376,0
73 119 -0.086663,-0.749104,0,0,-0.75656,0,0.016277,-0.921262,0,0.00821838,-0.977051,0,-0.109472,-0.95376,0
72 119 0.016277,-0.921262,0,0,-0.75656,0,0.127859,-0.709563,0,0.156747,-0.724423,0,0.136321,-0.923054,0
71 119 0.156747,-0.724423,0,0.249916,-0.752275,0,0.259715,-0.764016,0,0.234203,-0.955383,0,0.136321,-0.923054,0
70 119 0,-1.33,0,-0.257586,-1.33,0,-0.243811,-1.12331,0,0.00635374,-1.14185,0
69 119 -0.243811,-1.12331,0,-0.24705,-1.09326,0,-0.223483,-0.971427,0,-0.109472,-0.95376,0,0.00821838,-0.977051,0,0.0198354,-1.08582,0,0.00635374,-1.14185,0
68 119 0.23993,-1.13887,0,0.242424,-1.33,0,0,-1.33,0,0.00635374,-1.14185,0,0.0198354,-1.08582,0,0.230049,-1.09232,0
67 119 0.0198354,-1.08582,0,0.00821838,-0.977051,0,0.016277,-0.921262,0,0.136321,-0.923054,0,0.234203,-0.955383,0,0.241248,-1.01051,0,0.230049,-1.09232,0
66 119 -0.744395,-0.597775,0,-0.458044,-0.383739,0,-0.452548,-0.499835,0,-0.466857,-0.657425,0,-0.491245,-0.740743,0,-0.743668,-0.730519,0
65 119 -0.491245,-0.740743,0,-0.489627,-0.771825,0,-0.5,-0.920012,0,-0.747576,-0.917394,0,-0.782371,-0.903671,0,-0.776366,-0.838903,0,-0.743668,-0.730519,0
64 119 -1.00913,-1.33,0,-0.98185,-0.970208,0,-0.782371,-0.903671,0,-0.747576,-0.917394,0,-0.765,-1.33,0
63 119 -0.747576,-0.917394,0,-0.5,-0.920012,0,-0.4702,-1.12128,0,-0.5,-1.33,0,-0.765,-1.33,0
62 119 0.954849,-0.745683,0,0.973021,-1.14561,0,0.75002,-1.09538,0,0.635656,-0.964924,0,0.750298,-0.604134,0
61 119 0.635656,-0.964924,0,0.5,-0.917914,0,0.464706,-0.611929,0,0.451624,-0.487607,0,0.458044,-0.384788,0,0.750298,-0.604134,0
60 119 0.973021,-1.14561,0,0.999999,-1.16445,0,0.999999,-1.33,0,0.723349,-1.33,0,0.75002,-1.09538,0
59 119 0.723349,-1.33,0,0.5,-1.33,0,0.47344,-1.12911,0,0.485125,-1.03339,0,0.5,-0.917914,0,0.635656,-0.964924,0,0.75002,-1.09538,0
56 119 0.5,-0.917914,0,0.368412,-0.822046,0,0.336742,-0.789611,0,0.332082,-0.667729,0,0.336596,-0.601595,0,0.464706,-0.611929,0
24 119 1.5,-0.94,0,1.5,-1.12,0,0.999999,-1.16445,0,0.973021,-1.14561,0,0.954849,-0.745683,0
13 119 -1.00913,-1.33,0,-1.5,-1.33,0,-1.5,-1.12,0,-1.14822,-0.991781,0,-0.995628,-0.966344,0,-0.98185,-0.970208,0
10 119 1.5,-1.12,0,1.5,-1.33,0,0.999999,-1.33,0,0.999999,-1.16445,0
116 120 -0.354905,-0.79029,0,-0.425204,-0.874698,0,-0.5,-0.918317,0,-0.48961,-0.76944,0,-0.357422,-0.771235,0
115 120 -0.48961,-0.76944,0,-0.491214,-0.738202,0,-0.466791,-0.654397,0,-0.359274,-0.644999,0,-0.357422,-0.771235,0
114 120 -0.236649,-0.656212,0,-0.249901,-0.752805,0,-0.354905,-0.79029,0,-0.357422,-0.771235,0,-0.359274,-0.644999,0,-0.357697,-0.635484,0,-0.237765,-0.643897,0
113 120 -0.357697,-0.635484,0,-0.352163,-0.551329,0,-0.238038,-0.533376,0,-0.236767,-0.552421,0,-0.237765,-0.643897,0
112 120 -0.237765,-0.643897,0,-0.236767,-0.552421,0,-0.155568,-0.546682,0,-0.144808,-0.615153,0,-0.149496,-0.659709,0,-0.236649,-0.656212,0
111 120 -0.149496,-0.659709,0,-0.148973,-0.722513,0,-0.240141,-0.757158,0,-0.249901,-0.752805,0,-0.236649,-0.656212,0
110 120 0.336741,-0.787081,0,0.259714,-0.761258,0,0.249916,-0.749444,0,0.245475,-0.664844,0,0.332067,-0.664554,0
109 120 0.245475,-0.664844,0,0.238789,-0.621031,0,0.240215,-0.561016,0,0.334587,-0.574675,0,0.336563,-0.598055,0,0.332067,-0.664554,0
108 120 -0.457689,-0.379025,0,-0.369789,-0.325942,0,-0.352905,-0.425099,0,-0.356425,-0.49755,0,-0.452356,-0.495852,0
107 120 -0.356425,-0.49755,0,-0.352163,-0.551329,0,-0.357697,-0.635484,0,-0.359274,-0.644999,0,-0.466791,-0.654397,0,-0.452356,-0.495852,0
106 120 -0.155568,-0.546682,0,-0.148791,-0.494259,0,0.0151547,-0.498507,0,0.0176195,-0.573037,0,0.00672597,-0.623785,0,-0.144808,-0.615153,0
105 120 0.00672597,-0.623785,0,0,-0.75348,0,-0.086663,-0.746075,0,-0.148973,-0.722513,0,-0.149496,-0.659709,0,-0.144808,-0.615153,0
104 120 0.464613,-0.608625,0,0.336563,-0.598055,0,0.334587,-0.574675,0,0.338425,-0.486372,0,0.451423,-0.483541,0
103 120 0.338425,-0.486372,0,0.333571,-0.43438,0,0.35077,-0.315651,0,0.457689,-0.380083,0,0.451423,-0.483541,0
102 120 0.338425,-0.486372,0,0.334587,-0.574675,0,0.240215,-0.561016,0,0.23227,-0.49444,0,0.231901,-0.429362,0,0.333571,-0.43438,0
101 120 0.231901,-0.429362,0,0.226202,-0.386046,0,0.236777,-0.255024,0,0.35077,-0.315651,0,0.333571,-0.43438,0
100 120 0.0151547,-0.498507,0,0.0185946,-0.47604,0,0.136287,-0.479701,0,0.136994,-0.484972,0,0.134313,-0.57474,0,0.0176195,-0.573037,0
99 120 0.134313,-0.57474,0,0.138647,-0.618291,0,0.127859,-0.706364,0,0,-0.75348,0,0.00672597,-0.623785,0,0.0176195,-0.573037,0
98 120 0.135863,-0.388966,0,0.136287,-0.479701,0,0.0185946,-0.47604,0,0.00241744,-0.388891,0,0.0044474,-0.36314,0,0.129543,-0.358624,0
97 120 0.0044474,-0.36314,0,0,-0.20696,0,0.117288,-0.224379,0,0.129543,-0.358624,0
96 120 0.134313,-0.57474,0,0.136994,-0.484972,0,0.23227,-0.49444,0,0.240215,-0.561016,0,0.238789,-0.621031,0,0.138647,-0.618291,0
95 120 0.238789,-0.621031,0,0.245475,-0.664844,0,0.249916,-0.749444,0,0.156746,-0.721336,0,0.127859,-0.706364,0,0.138647,-0.618291,0
94 120 0.231901,-0.429362,0,0.23227,-0.49444,0,0.136994,-0.484972,0,0.136287,-0.479701,0,0.135863,-0.388966,0,0.226202,-0.386046,0
93 120 0.135863,-0.388966,0,0.129543,-0.358624,0,0.117288,-0.224379,0,0.236777,-0.255024,0,0.226202,-0.386046,0
92 120 0.0185946,-0.47604,0,0.0151547,-0.498507,0,-0.148791,-0.494259,0,-0.150841,-0.434702,0,-0.144054,-0.391144,0,0.00241744,-0.388891,0
91 120 -0.144054,-0.391144,0,-0.141069,-0.229469,0,0,-0.20696,0,0.0044474,-0.36314,0,0.00241744,-0.388891,0
90 120 -0.369789,-0.325942,0,-0.23679,-0.254734,0,-0.234045,-0.416816,0,-0.352905,-0.425099,0
89 120 -0.234045,-0.416816,0,-0.231833,-0.43606,0,-0.238038,-0.533376,0,-0.352163,-0.551329,0,-0.356425,-0.49755,0,-0.352905,-0.425099,0
88 120 -0.148791,-0.494259,0,-0.155568,-0.546682,0,-0.236767,-0.552421,0,-0.238038,-0.533376,0,-0.231833,-0.43606,0,-0.150841,-0.434702,0
87 120 -0.231833,-0.43606,0,-0.234045,-0.416816,0,-0.23679,-0.254734,0,-0.141069,-0.229469,0,-0.144054,-0.391144,0,-0.150841,-0.434702,0
86 120 -0.915382,-0.717174,0,-0.934564,-0.797581,0,-0.99559,-0.965613,0,-1.14816,-0.991371,0,-1.1779,-0.858136,0
85 120 -1.14816,-0.991371,0,-1.5,-1.12,0,-1.5,-0.94,0,-1.1779,-0.858136,0
84 120 -0.24705,-1.09215,0,-0.243811,-1.12235,0,-0.257586,-1.33,0,-0.5,-1.33,0,-0.4702,-1.12043,0,-0.281418,-1.05783,0
83 120 -0.4702,-1.12043,0,-0.5,-0.918317,0,-0.425204,-0.874698,0,-0.369758,-0.927263,0,-0.281418,-1.05783,0
82 120 0.5,-1.33,0,0.242424,-1.33,0,0.23993,-1.13799,0,0.47344,-1.12831,0
81 120 0.23993,-1.13799,0,0.230049,-1.0912,0,0.241248,-1.00898,0,0.315942,-1.00507,0,0.485125,-1.03217,0,0.47344,-1.12831,0
80 120 0.5,-0.916201,0,0.485125,-1.03217,0,0.315942,-1.00507,0,0.368412,-0.819717,0
79 120 0.315942,-1.00507,0,0.241248,-1.00898,0,0.234203,-0.953561,0,0.259714,-0.761258,0,0.336741,-0.787081,0,0.368412,-0.819717,0
78 120 -0.782347,-0.902355,0,-0.981821,-0.969465,0,-0.99559,-0.965613,0,-0.934564,-0.797581,0,-0.77628,-0.837307,0
77 120 -0.934564,-0.797581,0,-0.915382,-0.717174,0,-0.743744,-0.594875,0,-0.743424,-0.728337,0,-0.77628,-0.837307,0
76 120 -0.223483,-0.969675,0,-0.24705,-1.09215,0,-0.281418,-1.05783,0,-0.369758,-0.927263,0,-0.241132,-0.838219,0
75 120 -0.369758,-0.927263,0,-0.425204,-0.874698,0,-0.354905,-0.79029,0,-0.249901,-0.752805,0,-0.240141,-0.757158,0,-0.241132,-0.838219,0
74 120 -0.223483,-0.969675,0,-0.241132,-0.838219,0,-0.240141,-0.757158,0,-0.148973,-0.722513,0,-0.086663,-0.746075,0,-0.109472,-0.95183,0
73 120 -0.086663,-0.746075,0,0,-0.75348,0,0.016277,-0.919089,0,0.00821838,-0.975184,0,-0.109472,-0.95183,0
72 120 0.016277,-0.919089,0,0,-0.75348,0,0.127859,-0.706364,0,0.156746,-0.721336,0,0.136321,-0.920981,0
71 120 0.156746,-0.721336,0,0.249916,-0.749444,0,0.259714,-0.761258,0,0.234203,-0.953561,0,0.136321,-0.920981,0
70 120 0,-1.33,0,-0.257586,-1.33,0,-0.243811,-1.12235,0,0.00635374,-1.14089,0
69 120 -0.243811,-1.12235,0,-0.24705,-1.09215,0,-0.223483,-0.969675,0,-0.109472,-0.95183,0,0.00821838,-0.975184,0,0.0198354,-1.08456,0,0.00635374,-1.14089,0
68 120 0.23993,-1.13799,0,0.242424,-1.33,0,0,-1.33,0,0.00635374,-1.14089,0,0.0198354,-1.08456,0,0.230049,-1.0912,0
67 120 0.0198354,-1.08456,0,0.00821838,-0.975184,0,0.016277,-0.919089,0,0.136321,-0.920981,0,0.234203,-0.953561,0,0.241248,-1.00898,0,0.230049,-1.0912,0
66 120 -0.743744,-0.594875,0,-0.457689,-0.379025,0,-0.452356,-0.495852,0,-0.466791,-0.654397,0,-0.491214,-0.738202,0,-0.743424,-0.728337,0
65 120 -0.491214,-0.738202,0,-0.48961,-0.76944,0,-0.5,-0.918317,0,-0.747565,-0.916072,0,-0.782347,-0.902355,0,-0.77628,-0.837307,0,-0.743424,-0.728337,0
64 120 -1.00913,-1.33,0,-0.981821,-0.969465,0,-0.782347,-0.902355,0,-0.747565,-0.916072,0,-0.765,-1.33,0
63 120 -0.747565,-0.916072,0,-0.5,-0.918317,0,-0.4702,-1.12043,0,-0.5,-1.33,0,-0.765,-1.33,0
62 120 0.954141,-0.744036,0,0.973021,-1.14526,0,0.75002,-1.09466,0,0.635656,-0.96359,0,0.749643,-0.601288,0
61 120 0.635656,-0.96359,0,0.5,-0.916201,0,0.464613,-0.608625,0,0.451423,-0.483541,0,0.457689,-0.380083,0,0.749643,-0.601288,0
60 120 0.973021,-1.14526,0,0.999999,-1.16416,0,0.999999,-1.33,0,0.723349,-1.33,0,0.75002,-1.09466,0
59 120 0.723349,-1.33,0,0.5,-1.33,0,0.47344,-1.12831,0,0.485125,-1.03217,0,0.5,-0.916201,0,0.635656,-0.96359,0,0.75002,-1.09466,0
56 120 0.5,-0.916201,0,0.368412,-0.819717,0,0.336741,-0.787081,0,0.332067,-0.664554,0,0.336563,-0.598055,0,0.464613,-0.608625,0
24 120 1.5,-0.94,0,1.5,-1.12,0,0.999999,-1.16416,0,0.973021,-1.14526,0,0.954141,-0.744036,0
13 120 -1.00913,-1.33,0,-1.5,-1.33,0,-1.5,-1.12,0,-1.14816,-0.991371,0,-0.99559,-0.965613,0,-0.981821,-0.969465,0
10 120 1.5,-1.12,0,1.5,-1.33,0,0.999999,-1.33,0,0.999999,-1.16416,0
116 121 -0.354903,-0.787813,0,-0.425204,-0.872712,0,-0.5,-0.916622,0,-0.489592,-0.767056,0,-0.357419,-0.768668,0
115 121 -0.489592,-0.767056,0,-0.491184,-0.735662,0,-0.466725,-0.65137,0,-0.359247,-0.641769,0,-0.357419,-0.768668,0
114 121 -0.236644,-0.652882,0,-0.2499,-0.750003,0,-0.354903,-0.787813,0,-0.357419,-0.768668,0,-0.359247,-0.641769,0,-0.357667,-0.632198,0,-0.237759,-0.640501,0
113 121 -0.357667,-0.632198,0,-0.352102,-0.547551,0,-0.238016,-0.529351,0,-0.236749,-0.548506,0,-0.237759,-0.640501,0
112 121 -0.237759,-0.640501,0,-0.236749,-0.548506,0,-0.155562,-0.542637,0,-0.144806,-0.611483,0,-0.149495,-0.65629,0,-0.236644,-0.652882,0
111 121 -0.149495,-0.65629,0,-0.148972,-0.71943,0,-0.24014,-0.754366,0,-0.2499,-0.750003,0,-0.236644,-0.652882,0
110 121 0.33674,-0.784551,0,0.259714,-0.7585,0,0.249915,-0.746614,0,0.24547,-0.66156,0,0.332052,-0.66138,0
109 121 0.24547,-0.66156,0,0.238781,-0.617497,0,0.240198,-0.557143,0,0.334546,-0.570999,0,0.336529,-0.594515,0,0.332052,-0.66138,0
108 121 -0.457333,-0.374311,0,-0.369543,-0.320775,0,-0.352769,-0.42055,0,-0.356333,-0.493455,0,-0.452165,-0.491869,0
107 121 -0.356333,-0.493455,0,-0.352102,-0.547551,0,-0.357667,-0.632198,0,-0.359247,-0.641769,0,-0.466725,-0.65137,0,-0.452165,-0.491869,0
106 121 -0.155562,-0.542637,0,-0.148782,-0.489902,0,0.0151546,-0.49403,0,0.0176195,-0.568986,0,0.00672597,-0.620007,0,-0.144806,-0.611483,0
105 121 0.00672597,-0.620007,0,0,-0.7504,0,-0.086663,-0.743046,0,-0.148972,-0.71943,0,-0.149495,-0.65629,0,-0.144806,-0.611483,0
104 121 0.464519,-0.605321,0,0.336529,-0.594515,0,0.334546,-0.570999,0,0.338342,-0.482177,0,0.451222,-0.479475,0
103 121 0.338342,-0.482177,0,0.333462,-0.42986,0,0.350546,-0.310397,0,0.457333,-0.375378,0,0.451222,-0.479475,0
102 121 0.338342,-0.482177,0,0.334546,-0.570999,0,0.240198,-0.557143,0,0.232242,-0.490168,0,0.231858,-0.424699,0,0.333462,-0.42986,0
101 121 0.231858,-0.424699,0,0.226149,-0.381111,0,0.236665,-0.249268,0,0.350546,-0.310397,0,0.333462,-0.42986,0
100 121 0.0151546,-0.49403,0,0.0185945,-0.471437,0,0.136279,-0.475238,0,0.136986,-0.480541,0,0.134311,-0.570823,0,0.0176195,-0.568986,0
99 121 0.134311,-0.570823,0,0.138645,-0.614623,0,0.127859,-0.703165,0,0,-0.7504,0,0.00672597,-0.620007,0,0.0176195,-0.568986,0
98 121 0.135847,-0.383963,0,0.136279,-0.475238,0,0.0185945,-0.471437,0,0.00241744,-0.383773,0,0.00444738,-0.357876,0,0.129526,-0.353432,0
97 121 0.00444738,-0.357876,0,0,-0.2008,0,0.11726,-0.218352,0,0.129526,-0.353432,0
96 121 0.134311,-0.570823,0,0.136986,-0.480541,0,0.232242,-0.490168,0,0.240198,-0.557143,0,0.238781,-0.617497,0,0.138645,-0.614623,0
95 121 0.238781,-0.617497,0,0.24547,-0.66156,0,0.249915,-0.746614,0,0.156746,-0.718249,0,0.127859,-0.703165,0,0.138645,-0.614623,0
94 121 0.231858,-0.424699,0,0.232242,-0.490168,0,0.136986,-0.480541,0,0.136279,-0.475238,0,0.135847,-0.383963,0,0.226149,-0.381111,0
93 121 0.135847,-0.383963,0,0.129526,-0.353432,0,0.11726,-0.218352,0,0.236665,-0.249268,0,0.226149,-0.381111,0
92 121 0.0185945,-0.471437,0,0.0151546,-0.49403,0,-0.148782,-0.489902,0,-0.150826,-0.429994,0,-0.144036,-0.386167,0,0.00241744,-0.383773,0
91 121 -0.144036,-0.386167,0,-0.141029,-0.223486,0,0,-0.2008,0,0.00444738,-0.357876,0,0.00241744,-0.383773,0
90 121 -0.369543,-0.320775,0,-0.236679,-0.248976,0,-0.233997,-0.412085,0,-0.352769,-0.42055,0
89 121 -0.233997,-0.412085,0,-0.23179,-0.431445,0,-0.238016,-0.529351,0,-0.352102,-0.547551,0,-0.356333,-0.493455,0,-0.352769,-0.42055,0
88 121 -0.148782,-0.489902,0,-0.155562,-0.542637,0,-0.236749,-0.548506,0,-0.238016,-0.529351,0,-0.23179,-0.431445,0,-0.150826,-0.429994,0
87 121 -0.23179,-0.431445,0,-0.233997,-0.412085,0,-0.236679,-0.248976,0,-0.141029,-0.223486,0,-0.144036,-0.386167,0,-0.150826,-0.429994,0
86 121 -0.914671,-0.715301,0,-0.934173,-0.796111,0,-0.995553,-0.964882,0,-1.1481,-0.990961,0,-1.17734,-0.857448,0
85 121 -1.1481,-0.990961,0,-1.5,-1.12,0,-1.5,-0.94,0,-1.17734,-0.857448,0
84 121 -0.24705,-1.09104,0,-0.243811,-1.12138,0,-0.257586,-1.33,0,-0.5,-1.33,0,-0.4702,-1.11959,0,-0.281418,-1.05656,0
83 121 -0.4702,-1.11959,0,-0.5,-0.916622,0,-0.425204,-0.872712,0,-0.369758,-0.925438,0,-0.281418,-1.05656,0
82 121 0.5,-1.33,0,0.242424,-1.33,0,0.23993,-1.13711,0,0.47344,-1.12751,0
81 121 0.23993,-1.13711,0,0.230049,-1.09007,0,0.241248,-1.00745,0,0.315942,-1.00358,0,0.485125,-1.03095,0,0.47344,-1.12751,0
80 121 0.5,-0.914489,0,0.485125,-1.03095,0,0.315942,-1.00358,0,0.368411,-0.817388,0
79 121 0.315942,-1.00358,0,0.241248,-1.00745,0,0.234203,-0.951738,0,0.259714,-0.7585,0,0.33674,-0.784551,0,0.368411,-0.817388,0
78 121 -0.782322,-0.90104,0,-0.981792,-0.968721,0,-0.995553,-0.964882,0,-0.934173,-0.796111,0,-0.776194,-0.835711,0
77 121 -0.934173,-0.796111,0,-0.914671,-0.715301,0,-0.743093,-0.591975,0,-0.74318,-0.726156,0,-0.776194,-0.835711,0
76 121 -0.223483,-0.967922,0,-0.24705,-1.09104,0,-0.281418,-1.05656,0,-0.369758,-0.925438,0,-0.241132,-0.835828,0
75 121 -0.369758,-0.925438,0,-0.425204,-0.872712,0,-0.354903,-0.787813,0,-0.2499,-0.750003,0,-0.24014,-0.754366,0,-0.241132,-0.835828,0
74 121 -0.223483,-0.967922,0,-0.241132,-0.835828,0,-0.24014,-0.754366,0,-0.148972,-0.71943,0,-0.086663,-0.743046,0,-0.109472,-0.949899,0
73 121 -0.086663,-0.743046,0,0,-0.7504,0,0.016277,-0.916917,0,0.00821838,-0.973316,0,-0.109472,-0.949899,0
72 121 0.016277,-0.916917,0,0,-0.7504,0,0.127859,-0.703165,0,0.156746,-0.718249,0,0.136321,-0.918908,0
71 121 0.156746,-0.718249,0,0.249915,-0.746614,0,0.259714,-0.7585,0,0.234203,-0.951738,0,0.136321,-0.918908,0
70 121 0,-1.33,0,-0.257586,-1.33,0,-0.243811,-1.12138,0,0.00635374,-1.13993,0
69 121 -0.243811,-1.12138,0,-0.24705,-1.09104,0,-0.223483,-0.967922,0,-0.109472,-0.949899,0,0.00821838,-0.973316,0,0.0198354,-1.0833,0,0.00635374,-1.13993,0
68 121 0.23993,-1.13711,0,0.242424,-1.33,0,0,-1.33,0,0.00635374,-1.13993,0,0.0198354,-1.0833,0,0.230049,-1.09007,0
67 121 0.0198354,-1.0833,0,0.00821838,-0.973316,0,0.016277,-0.916917,0,0.136321,-0.918908,0,0.234203,-0.951738,0,0.241248,-1.00745,0,0.230049,-1.09007,0
66 121 -0.743093,-0.591975,0,-0.457333,-0.374311,0,-0.452165,-0.491869,0,-0.466725,-0.65137,0,-0.491184,-0.735662,0,-0.74318,-0.726156,0
65 121 -0.491184,-0.735662,0,-0.489592,-0.767056,0,-0.5,-0.916622,0,-0.747555,-0.914749,0,-0.782322,-0.90104,0,-0.776194,-0.835711,0,-0.74318,-0.726156,0
64 121 -1.00913,-1.33,0,-0.981792,-0.968721,0,-0.782322,-0.90104,0,-0.747555,-0.914749,0,-0.765,-1.33,0
63 121 -0.747555,-0.914749,0,-0.5,-0.916622,0,-0.4702,-1.11959,0,-0.5,-1.33,0,-0.765,-1.33,0
62 121 0.953433,-0.742389,0,0.973021,-1.1449,0,0.75002,-1.09394,0,0.635656,-0.962257,0,0.748988,-0.598441,0
61 121 0.635656,-0.962257,0,0.5,-0.914489,0,0.464519,-0.605321,0,0.451222,-0.479475,0,0.457333,-0.375378,0,0.748988,-0.598441,0
60 121 0.973021,-1.1449,0,0.999999,-1.16387,0,0.999999,-1.33,0,0.723349,-1.33,0,0.75002,-1.09394,0
59 121 0.723349,-1.33,0,0.5,-1.33,0,0.47344,-1.12751,0,0.485125,-1.03095,0,0.5,-0.914489,0,0.635656,-0.962257,0,0.75002,-1.09394,0
56 121 0.5,-0.914489,0,0.368411,-0.817388,0,0.33674,-0.784551,0,0.332052,-0.66138,0,0.336529,-0.594515,0,0.464519,-0.605321,0
24 121 1.5,-0.94,0,1.5,-1.12,0,0.999999,-1.16387,0,0.973021,-1.1449,0,0.953433,-0.742389,0
13 121 -1.00913,-1.33,0,-1.5,-1.33,0,-1.5,-1.12,0,-1.1481,-0.990961,0,-0.995553,-0.964882,0,-0.981792,-0.968721,0
10 121 1.5,-1.12,0,1.5,-1.33,0,0.999999,-1.33,0,0.999999,-1.16387,0
116 122 -0.354902,-0.785337,0,-0.425204,-0.870726,0,-0.5,-0.914927,0,-0.489574,-0.764671,0,-0.357417,-0.766101,0
115 122 -0.489574,-0.764671,0,-0.491154,-0.733121,0,-0.466659,-0.648343,0,-0.35922,-0.638539,0,-0.357417,-0.766101,0
114 122 -0.236639,-0.649551,0,-0.249899,-0.7472,0,-0.354902,-0.785337,0,-0.357417,-0.766101,0,-0.35922,-0.638539,0,-0.357637,-0.628913,0,-0.237752,-0.637105,0
113 122 -0.357637,-0.628913,0,-0.352041,-0.543773,0,-0.237994,-0.525327,0,-0.23673,-0.544591,0,-0.237752,-0.637105,0
112 122 -0.237752,-0.637105,0,-0.23673,-0.544591,0,-0.155555,-0.538592,0,-0.144804,-0.607813,0,-0.149494,-0.652872,0,-0.236639,-0.649551,0
111 122 -0.149494,-0.652872,0,-0.148972,-0.716347,0,-0.24014,-0.751573,0,-0.249899,-0.7472,0,-0.236639,-0.649551,0
110 122 0.336739,-0.782021,0,0.259713,-0.755742,0,0.249914,-0.743783,0,0.245465,-0.658275,0,0.332037,-0.658205,0
109 122 0.245465,-0.658275,0,0.238772,-0.613963,0,0.240181,-0.55327,0,0.334506,-0.567323,0,0.336496,-0.590976,0,0.332037,-0.658205,0
108 122 -0.456978,-0.369597,0,-0.369297,-0.315607,0,-0.352633,-0.416001,0,-0.356241,-0.489359,0,-0.451974,-0.487887,0
107 122 -0.356241,-0.489359,0,-0.352041,-0.543773,0,-0.357637,-0.628913,0,-0.35922,-0.638539,0,-0.466659,-0.648343,0,-0.451974,-0.487887,0
106 122 -0.155555,-0.538592,0,-0.148773,-0.485546,0,0.0151546,-0.489553,0,0.0176195,-0.564935,0,0.00672597,-0.616229,0,-0.144804,-0.607813,0
105 122 0.00672597,-0.616229,0,0,-0.74732,0,-0.086663,-0.740017,0,-0.148972,-0.716347,0,-0.149494,-0.652872,0,-0.144804,-0.607813,0
104 122 0.464426,-0.602018,0,0.336496,-0.590976,0,0.334506,-0.567323,0,0.33826,-0.477982,0,0.451022,-0.47541,0
103 122 0.33826,-0.477982,0,0.333353,-0.425341,0,0.350322,-0.305143,0,0.456978,-0.370673,0,0.451022,-0.47541,0
102 122 0.33826,-0.477982,0,0.334506,-0.567323,0,0.240181,-0.55327,0,0.232215,-0.485897,0,0.231814,-0.420035,0,0.333353,-0.425341,0
