ID Time CellCorners
20 5 0,-0.91536,0,0,-1.10768,0,-0.240199,-1.0783,0,-0.249985,-1.07508,0,-0.249564,-0.916983,0
19 5 -0.249985,-1.07508,0,-0.5,-1.11322,0,-0.498578,-0.921144,0,-0.249564,-0.916983,0
18 5 0.5,-1.11315,0,0.5,-1.33,0,0.242424,-1.33,0,0.259781,-1.07839,0
17 5 0.242424,-1.33,0,0,-1.33,0,0,-1.10768,0,0.25,-1.07494,0,0.259781,-1.07839,0
16 5 0.498578,-0.921179,0,0.5,-1.11315,0,0.259781,-1.07839,0,0.25,-1.07494,0,0.249552,-0.916986,0
15 5 0.25,-1.07494,0,0,-1.10768,0,0,-0.91536,0,0.249552,-0.916986,0
14 5 -0.5,-1.11322,0,-0.5,-1.33,0,-1.00913,-1.33,0,-0.985166,-1.05499,0
13 5 -1.00913,-1.33,0,-1.5,-1.33,0,-1.5,-1.12,0,-0.999889,-1.04965,0,-0.985166,-1.05499,0
12 5 -0.498578,-0.921144,0,-0.5,-1.11322,0,-0.985166,-1.05499,0,-0.999889,-1.04965,0,-0.997154,-0.932514,0
11 5 -0.999889,-1.04965,0,-1.5,-1.12,0,-1.5,-0.94,0,-0.997154,-0.932514,0
10 5 1.5,-1.12,0,1.5,-1.33,0,0.999999,-1.33,0,0.999999,-1.19759,0
9 5 0.999999,-1.33,0,0.5,-1.33,0,0.5,-1.11315,0,0.999999,-1.19759,0
8 5 0.999999,-1.19759,0,0.5,-1.11315,0,0.498578,-0.921179,0,1.5,-0.94,0,1.5,-1.12,0
22 6 0,-1.1046,0,0,-1.33,0,-0.257586,-1.33,0,-0.240198,-1.0755,0
21 6 -0.257586,-1.33,0,-0.5,-1.33,0,-0.5,-1.11153,0,-0.249984,-1.07228,0,-0.240198,-1.0755,0
20 6 0,-0.9092,0,0,-1.1046,0,-0.240198,-1.0755,0,-0.249984,-1.07228,0,-0.249453,-0.911225,0
19 6 -0.249984,-1.07228,0,-0.5,-1.11153,0,-0.498222,-0.91643,0,-0.249453,-0.911225,0
18 6 0.5,-1.11144,0,0.5,-1.33,0,0.242424,-1.33,0,0.259781,-1.07563,0
17 6 0.242424,-1.33,0,0,-1.33,0,0,-1.1046,0,0.249999,-1.07211,0,0.259781,-1.07563,0
16 6 0.498222,-0.916474,0,0.5,-1.11144,0,0.259781,-1.07563,0,0.249999,-1.07211,0,0.249441,-0.91123,0
15 6 0.249999,-1.07211,0,0,-1.1046,0,0,-0.9092,0,0.249441,-0.91123,0
14 6 -0.5,-1.11153,0,-0.5,-1.33,0,-1.00913,-1.33,0,-0.985137,-1.05425,0
13 6 -1.00913,-1.33,0,-1.5,-1.33,0,-1.5,-1.12,0,-0.999852,-1.04892,0,-0.985137,-1.05425,0
12 6 -0.498222,-0.91643,0,-0.5,-1.11153,0,-0.985137,-1.05425,0,-0.999852,-1.04892,0,-0.996443,-0.930642,0
11 6 -0.999852,-1.04892,0,-1.5,-1.12,0,-1.5,-0.94,0,-0.996443,-0.930642,0
10 6 1.5,-1.12,0,1.5,-1.33,0,0.999999,-1.33,0,0.999999,-1.1973,0
9 6 0.999999,-1.33,0,0.5,-1.33,0,0.5,-1.11144,0,0.999999,-1.1973,0
8 6 0.999999,-1.1973,0,0.5,-1.11144,0,0.498222,-0.916474,0,1.5,-0.94,0,1.5,-1.12,0
22 7 0,-1.10152,0,0,-1.33,0,-0.257586,-1.33,0,-0.240198,-1.07271,0
21 7 -0.257586,-1.33,0,-0.5,-1.33,0,-0.5,-1.10983,0,-0.249983,-1.06948,0,-0.240198,-1.07271,0
20 7 0,-0.90304,0,0,-1.10152,0,-0.240198,-1.07271,0,-0.249983,-1.06948,0,-0.249342,-0.905466,0
19 7 -0.249983,-1.06948,0,-0.5,-1.10983,0,-0.497867,-0.911716,0,-0.249342,-0.905466,0
18 7 0.5,-1.10972,0,0.5,-1.33,0,0.242424,-1.33,0,0.25978,-1.07288,0
17 7 0.242424,-1.33,0,0,-1.33,0,0,-1.10152,0,0.249998,-1.06928,0,0.25978,-1.07288,0
16 7 0.497867,-0.911769,0,0.5,-1.10972,0,0.25978,-1.07288,0,0.249998,-1.06928,0,0.24933,-0.905473,0
15 7 0.249998,-1.06928,0,0,-1.10152,0,0,-0.90304,0,0.24933,-0.905473,0
14 7 -0.5,-1.10983,0,-0.5,-1.33,0,-1.00913,-1.33,0,-0.985108,-1.0535,0
13 7 -1.00913,-1.33,0,-1.5,-1.33,0,-1.5,-1.12,0,-0.999814,-1.04819,0,-0.985108,-1.0535,0
12 7 -0.497867,-0.911716,0,-0.5,-1.10983,0,-0.985108,-1.0535,0,-0.999814,-1.04819,0,-0.995732,-0.928769,0
11 7 -0.999814,-1.04819,0,-1.5,-1.12,0,-1.5,-0.94,0,-0.995732,-0.928769,0
10 7 1.5,-1.12,0,1.5,-1.33,0,0.999999,-1.33,0,0.999999,-1.19701,0
9 7 0.999999,-1.33,0,0.5,-1.33,0,0.5,-1.10972,0,0.999999,-1.19701,0
8 7 0.999999,-1.19701,0,0.5,-1.10972,0,0.497867,-0.911769,0,1.5,-0.94,0,1.5,-1.12,0
22 8 0,-1.09844,0,0,-1.33,0,-0.257586,-1.33,0,-0.240197,-1.06992,0
21 8 -0.257586,-1.33,0,-0.5,-1.33,0,-0.5,-1.10814,0,-0.249983,-1.06667,0,-0.240197,-1.06992,0
20 8 0,-0.89688,0,0,-1.09844,0,-0.240197,-1.06992,0,-0.249983,-1.06667,0,-0.249231,-0.899707,0
19 8 -0.249983,-1.06667,0,-0.5,-1.10814,0,-0.497511,-0.907001,0,-0.249231,-0.899707,0
18 8 0.5,-1.10801,0,0.5,-1.33,0,0.242424,-1.33,0,0.25978,-1.07012,0
17 8 0.242424,-1.33,0,0,-1.33,0,0,-1.09844,0,0.249998,-1.06645,0,0.25978,-1.07012,0
16 8 0.497511,-0.907064,0,0.5,-1.10801,0,0.25978,-1.07012,0,0.249998,-1.06645,0,0.249218,-0.899717,0
15 8 0.249998,-1.06645,0,0,-1.09844,0,0,-0.89688,0,0.249218,-0.899717,0
14 8 -0.5,-1.10814,0,-0.5,-1.33,0,-1.00913,-1.33,0,-0.985079,-1.05276,0
13 8 -1.00913,-1.33,0,-1.5,-1.33,0,-1.5,-1.12,0,-0.999777,-1.04746,0,-0.985079,-1.05276,0
